user;weight;NPA;typo_aire_urbaine_v1;code_commune;localite;pays;q05a;sex;RegionS;agec;actif;nich;nifr;niv_educ_simplif;revch;revfr;revenu_simplif;polit;maxcarC;maxcarP;maxtp;maxmot;maxvelo;q02;q04;q04b;q04c;q05b;q05b_plz;q06_2;q06_3;q06_4;q06b;q07a_5;q07a_6;q07a_7;q07a_8;q07a_9;q07a_10;q07a_11;q07a_12;q07a_13;q07a_14;motorisation_menage;q07b_1;q07b_2;q07b_3;q07b_4;q07b_5;q07b_6;q07b_7;q07b_8;q07b_9;q07b_10;q07b_11;q07b_12;q07c_1;q07c_2;q07c_3;q07c_4;q08_1;q08_2;q08_3;q08_4;q08_5;q08_97;q09_1;q09_2;q07a_1;q07a_2;q07a_3;q07a_4;place_de_parc_travail;q09_3;q09_4;q09_5;q10_1;q10_2;q10_3;q10_4;q10_5;q11_1;q11_2;q11_3;q11_4;q11_5;q11_6;q11_7;q11_8;q11_9;q11_10;q12_1;q12_2;q12_3;q12_4;q12_5;q12_6;q12_7;q12_8;q12_9;q12_10;q12_11;q12_12;q06_1;q13_1;q13_2;q13_3;q13_4;q13_5;q13_6;q13_7;q13_8;q13_9;q13_10;q13_11;q13_12;q13_13;q13_14;q13b_1;q13b_2;q13b_3;q13b_4;q13b_5;q13c_1;q13c_2;q13c_3;q13c_4;q13c_5;q13c_6;q14a_1;q14a_2;q14a_3;q14b;q14c;q15_1;q15_2;q15_3;q15_4;q15_5;q17_1;q17_2;q17_3;q17_4;q17_5;q17_6;q17_7;q17_8;q17_9;q18;q19;q20;q21a01_1;q21a01_2;q21a01_3;q21a01_4;q21a01_5;q21a03_1;q21a03_2;q21a03_3;q21a03_4;q21a03_5;q21a02_1;q21a02_2;q21a02_3;q21a02_4;q21a02_5;q21a05_1;q21a05_2;q21a05_3;q21a05_4;q21a05_5;q21a04_1;q21a04_2;q21a04_3;q21a04_4;q21a04_5;q23;q24_1;q24_2;q24_3;q24_4;q40a_1;q40a_2;q40a_3;q40a_4;q40BC_1;q40BC_2;q40BC_3;q40BC_4;q40BC_5;q40BC_6;q40BC_7;q40BC_8;q40BC_9;q40BC_10;q40BC_11;q40BC_12;q40BC_13;q40BC_14;q40BC_15;q40BC_16;q40BC_17;q41a_1;q41a_2;q41a_3;q41B1_5;q41B2_1;q41B2_2;q41B2_3;q41B2_4;q41B3_6;q41B3_7;q41B3_8;q41B3_9;q41B3_10;q41B1_11;q41B1_12;q42a_1;q42a_2;q42a_3;q42a_4;q42B1_1;q42B1_2;q42B1_3;q42B2_4;q42B2_5;q42B2_6;q42B2_7;q42B3_8;q42B3_9;q42B3_10;q42B3_11;q43a_1;q43a_2;q43a_3;q43a_4;q43B1_1;q43B1_2;q43B1_3;q43B3_8;q43B3_9;q43B3_10;q43B3_11;q43B2_4;q43B2_5;q43B2_6;q43B2_7;q60;q61;q62;q63;q64;formation_CH;formation_FR;formation_harmonisee;revenu;politique;jour_reference;aire_urbaine_categ;nb_jours_teletravail;loop1_a01_loop2_a01__duree;loop1_a01_loop2_a02__duree;loop1_a01_loop2_a03__duree;loop1_a01_loop2_a04__duree;loop1_a01_loop2_a05__duree;loop1_a01_loop2_a06__duree;loop1_a01_loop2_a07__duree;loop1_a01_loop2_a08__duree;loop1_a01_loop2_a09__duree;loop1_a01_loop2_a10__duree;loop1_a01_loop2_a11__duree;loop1_a01_loop2_a12__duree;loop1_a01_loop2_a13__duree;loop1_a02_loop2_a01__duree;loop1_a02_loop2_a02__duree;loop1_a02_loop2_a03__duree;loop1_a02_loop2_a04__duree;loop1_a02_loop2_a05__duree;loop1_a02_loop2_a06__duree;loop1_a02_loop2_a07__duree;loop1_a02_loop2_a08__duree;loop1_a02_loop2_a09__duree;loop1_a02_loop2_a10__duree;loop1_a02_loop2_a11__duree;loop1_a02_loop2_a12__duree;loop1_a02_loop2_a13__duree;age_categ_MC;dépenses_totales_TIM;au_moins_une_alternative;stationnement_dispo_menage_simplif;alternative_envisagees;alternative_envisagees_courses;alternative_envisagees_loisirs;alternative_envisagees_activites_plein_air;alternative_envisagees_activites_sociales;loop1_a03_loop2_a01__duree;loop1_a03_loop2_a02__duree;loop1_a03_loop2_a03__duree;loop1_a03_loop2_a04__duree;loop1_a03_loop2_a05__duree;loop1_a03_loop2_a06__duree;loop1_a03_loop2_a07__duree;loop1_a03_loop2_a08__duree;loop1_a03_loop2_a09__duree;loop1_a03_loop2_a10__duree;loop1_a03_loop2_a11__duree;loop1_a03_loop2_a12__duree;loop1_a03_loop2_a13__duree;loop1_a04_loop2_a01__duree;loop1_a04_loop2_a02__duree;loop1_a04_loop2_a03__duree;loop1_a04_loop2_a04__duree;loop1_a04_loop2_a05__duree;loop1_a04_loop2_a06__duree;loop1_a04_loop2_a07__duree;loop1_a04_loop2_a08__duree;loop1_a04_loop2_a09__duree;loop1_a04_loop2_a10__duree;loop1_a04_loop2_a11__duree;loop1_a04_loop2_a12__duree;loop1_a04_loop2_a13__duree;loop1_a05_loop2_a01__duree;loop1_a05_loop2_a02__duree;loop1_a05_loop2_a03__duree;loop1_a05_loop2_a04__duree;loop1_a05_loop2_a05__duree;loop1_a05_loop2_a06__duree;loop1_a05_loop2_a07__duree;loop1_a05_loop2_a08__duree;loop1_a05_loop2_a09__duree;loop1_a05_loop2_a10__duree;loop1_a05_loop2_a11__duree;loop1_a05_loop2_a12__duree;loop1_a05_loop2_a13__duree;loop1_a06_loop2_a01__duree;loop1_a06_loop2_a02__duree;loop1_a06_loop2_a03__duree;loop1_a06_loop2_a04__duree;loop1_a06_loop2_a05__duree;loop1_a06_loop2_a06__duree;loop1_a06_loop2_a07__duree;loop1_a06_loop2_a08__duree;loop1_a06_loop2_a09__duree;loop1_a06_loop2_a10__duree;loop1_a06_loop2_a11__duree;loop1_a06_loop2_a12__duree;loop1_a06_loop2_a13__duree;effectif_menage;effectif_moins_15;nb_ar_domicile_travail
16812;,79239165587;1201;coeur_agglo;6621;Genève;CH;1;2;1;3;1;3; ;3;3; ;3;3;3;3;1;4;3;51;1; ; ;1217 Meyrin;1217;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;0;0;0;0; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;8;8;6;7;7;1;8;8; ; ;1;8;8;8;3;3;3;3;8;3;6;6;3;6; ; ; ; ;40; ; ;2; ; ;1;2;2;2;2;2;3;3;3;4;4;1;2;1;2;2;4;3;4;4;2;2;1;3;2;2;2;3;3;3;1;1;4;5;5;5;5;5; ;4;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;3;1;3;7; ;7;7;8;1;coeur_agglo;2; ; ; ; ; ;0:30:00; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;45-64; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;4
21074;,818648505586;1202;coeur_agglo;6621;Genève;CH;1;1;1;3;1;1; ;1; ; ; ;2;4;3;1;4;1;47;1; ; ;1242 Satigny;1242;0;1;0;4;0;0;0;1;1;0;1;0;0;0;0; ; ; ; ; ; ; ;1;1; ;1; ; ; ; ; ;10;0;10;10;10;5; ; ;0;0;0;0; ; ;1; ; ; ; ;1; ;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0; ; ;6;7;4;2;8;1; ; ;1;4;8;8;1;4;5;6;7;8;6;8;3;6; ; ; ; ;70;15; ;1; ; ;1;1;4;3;3;2;3;3;3;3;7; ; ;1;2;3;3;3;4;3;3;3;2;4;3;3;3;2;4;4;4;3;4;4;4;4;3;4; ;4;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;2;1;1;4; ;4; ;5;1;coeur_agglo;0; ; ; ; ; ; ; ;0:16:00; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0:10:00; ; ;45-64; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0:30:00; ;0:30:00; ; ;0:30:00; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;0;2
12989;,989900046698;1203;coeur_agglo;6621;Genève;CH;1;2;1;1;1;1; ;1;1; ;1;1;3;3;1;4;2;75;1; ; ;1217 Meyrin;1217;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ; ; ;0;0;0;0; ; ;1; ; ; ; ;2; ;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;6;6;6;7;1;1;3;8; ; ;2;8;8;8;3;6;2;5;8;4;6;3;5;3; ; ; ; ;120;10; ;2;1;3;1;3;1;3;3;3;3;4;3;3;7; ; ;2;2;1;3;2;3;3;3;3;1;3;3;3;3;1;2;4;2;2;4;4;2;4;2;4;5;4;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;4;4;2;1;4; ;4;3;1;1;coeur_agglo;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;25-44; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;5
21620;,79239165587;1213;urbaine_agglo_centrale;6628;Onex;CH;1;2;1;3;1;3; ;3;4; ;4;3;2;2;3;4;3;49;1; ; ;1204 Genève;1204;0;0;0;4;1;1;1;0;1;0;1;1;1;0;0; ; ; ; ;1;3;2; ;1; ;4;1; ; ; ; ;3;0;1;3;1;0; ; ;0;0;0;0; ; ;2;2; ; ; ; ; ;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;5;5;3;6;6;6;6;7; ; ;3;1;6;5;2;3;4;3;8;5;5;6;5;5; ;150;700;400; ; ;4; ; ; ;2;3;3;3;3;3;3;3;3;3;8; ; ;3;2;4;1;3;1;3;3;1;1;3;2;2;1;2;3;2;2;1;4;4;2;4;2;4;1;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;2;1;1;7; ;7;9;9;1;aire_urbaine;0; ; ; ; ; ; ; ; ; ; ; ;0:10:00; ; ; ; ; ; ; ; ; ; ; ; ;0:09:00; ;45-64;1250; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;1;7
20768;1,06491952226;1203;coeur_agglo;6621;Genève;CH;1;2;1;2;3;1; ;1;1; ;1;2;4;2;2;4;1;66;4; ; ;1205 Genève;1205;0;0;1;4;0;0;0;0;0;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ;1; ;1; ; ; ;0;0;0;0; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0; ; ;4;8;5;3;8;1; ; ;1;8;8;8;2;8;4;3;1;3;5; ;3;5;6; ; ; ;20;0; ;2; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;4;3;3;4;5;5;3;2;2;1;3;2;3;2;5;3;3;2;3;5;4;4;4;2;2; ;1;3;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;2;1;4; ;4;2;6;3;coeur_agglo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;25-44; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;3;2
16056;,818648505586;1207;coeur_agglo;6621;Genève;CH;1;1;1;3;1;3; ;3;2; ;2;2;3;2;2;3;1;42;1; ; ;1201 Genève;1201;1;0;0;4;0;0;1;0;0;0;0;0;0;0;0; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;0;0;1;1;1;0; ; ;0;0;0;0; ; ;1; ; ; ; ;2; ;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;6;6;5;6;4;3;1;8;8;7;1;8;8;8;3;6;4;4;8;5;6;6;6;6; ; ; ; ;40;0; ;2; ;1;1;3;3;3;3;3;3;3;3;3;7; ; ;2;3;2;3;2;3;3;3;3;1;3;3;3;3;3;4;4;4;3;4;4;3;3;3;4;5;4;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;1;1;7; ;7;4;4;3;coeur_agglo;0; ; ; ; ; ; ; ; ; ; ;2:00:00; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;45-64; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1:00:00; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;8
16791;,79239165587;1202;coeur_agglo;6621;Genève;CH;1;2;1;3;1;2; ;2;2; ;2;1;3;2;1;4;2;41;1; ; ;1201 Genève;1201;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;8;0;4;0;0;0; ; ;0;0;0;0; ; ;1; ; ; ; ;1; ;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;8;8;4;6;3;1;3;8; ; ;1;8;8;8;3;3;3;4;4;3;6;4;3;6;4;0;0;0;70;5; ;2;1;3;2;3;2;3;3;3;3;3;3;3;4;4;2;3;3;3;2;1;4;4;3;4;1;3;3;3;4;3;3;4;3;3;4;3;3;3;2;4; ;3;4;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2;1;1;5; ;5;5;2;1;coeur_agglo;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;45-64;0; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;4
16936;,79239165587;1207;coeur_agglo;6621;Genève;CH;1;2;1;3;1;2; ;2;3; ;3;2;3;2;2;4;2;45;1; ; ;1207 Genève;1207;0;0;0;4;1;0;0;1;0;0;0;0;0;0;0; ; ; ; ;2; ; ;2; ; ; ; ; ; ; ; ; ; ;1;1;2; ; ; ;0;0;0;0; ; ;2; ; ; ; ; ; ;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;6;6;5;6;6;5;8;5; ; ;1;8;8;8;1;3;4;6;6;6;6;6;6;6;1; ; ; ; ; ; ; ; ; ;2;3;2;3;3;3;3;3;3;3;9; ; ;2;3;1;3;3;3;3;3;3;2;3;3;2;3;3;4;4;2;4;4;4;3;3;3;3;1;3;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2;2;1;1;5; ;5;7;6;3;coeur_agglo;0; ; ; ; ; ; ; ; ; ; ;0:00:00; ; ; ; ; ; ; ; ; ; ; ; ;0:00:00; ; ;45-64; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;5
20596;1,06491952226;1208;coeur_agglo;6621;Genève;CH;1;2;1;2;2;3; ;3;3; ;3;1;3;2;2;4;1;63;2;2; ;1205 Genève;1205;0;0;0;4;0;0;1;1;0;0;0;0;0;0;0; ; ; ; ; ; ;2;2; ; ; ; ; ; ; ; ;1;0;0;0;1;0; ; ;0;0;0;0; ; ;2; ; ; ; ; ; ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;8;6;5;8;6;5;4;1; ; ;4;8;8;8;1;5;4;6;2;5;5;5;5;5;5; ; ; ; ;0; ; ; ; ; ;3;3;3;3;3;3;3;3;3;7; ; ;1;4;1;3;1;4;4;4;4;1;3;2;3;3;3;4;3;2;3;4;4;3;4;4;4;5;4;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;3;1;1;7; ;7;6;2;1;coeur_agglo;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;25-44; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;2;3
15426;1,06491952226;1213;urbaine_agglo_centrale;6628;Petit-Lancy;CH;1;2;1;2;1;3; ;3;4; ;4;1;2;2;3;4;1;64;1; ; ;1202 Genève;1202;0;0;0;4;0;0;0;1;0;1;0;0;0;0;0; ; ; ; ; ; ; ;2; ;1; ; ; ; ; ; ;2;0;0;0;0;0; ; ;0;0;0;0; ; ;1; ; ; ; ;1; ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;5;4;4;6;7;6;8;1; ; ;1;8;8;8;3;3;4;5;1;5;5;5;5;5;5;50;60;15; ;40; ; ; ; ;2;2;2;4;4;1;4;4;3;4;3;2;2;2;2;2;3;2;3;2;3;3;2;3;2;3;2;3;3;3;2;2;3;4;3;2;2;3;5;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;2;1;7; ;7;9;2;1;aire_urbaine;3; ; ; ; ; ; ; ;0:25:00; ; ; ; ; ; ; ; ; ; ; ; ;0:15:00; ; ; ; ; ;25-44;125; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0:15:00; ; ; ; ; ;3;1;3
